Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_gpt3.5_os,0.6537,0.0851,[0.5103 0.8322],0.7248,0.0911,[0.5587 0.8806],2.96e-07
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_gpt3.5_5s,0.6537,0.0851,[0.5103 0.8322],0.7225,0.0922,[0.5328 0.8902],2.94e-07
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_gpt4_zs,0.6537,0.0851,[0.5103 0.8322],0.8046,0.0661,[0.6798 0.9111],8.14e-24
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_gpt4_os,0.6537,0.0851,[0.5103 0.8322],0.8362,0.0675,[0.7089 0.9438],1.0100000000000001e-27
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_gpt4_5s,0.6537,0.0851,[0.5103 0.8322],0.8018,0.0758,[0.6532 0.9303],3.56e-22
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_llama2-13b_finetuned,0.6537,0.0851,[0.5103 0.8322],0.9093,0.0517,[0.7883 0.9853],2.1e-33
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_llama2-13b-chat_zs,0.6537,0.0851,[0.5103 0.8322],0.3888,0.1018,[0.1949 0.5677],3.41e-32
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_llama2-13b-chat_os,0.6537,0.0851,[0.5103 0.8322],0.6418,0.0992,[0.4573 0.8271],0.532
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_llama2-13b-chat_5s,0.6537,0.0851,[0.5103 0.8322],0.5577,0.1081,[0.3469 0.7637],3.12e-09
BC5CDR_Chemical_gpt3.5_zs,BC5CDR_Chemical_pmcllama-13b_finetuned,0.6537,0.0851,[0.5103 0.8322],0.9113,0.0481,[0.8    0.9952],1.09e-33
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_gpt3.5_5s,0.7248,0.0911,[0.5587 0.8806],0.7225,0.0922,[0.5328 0.8902],0.822
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_gpt4_zs,0.7248,0.0911,[0.5587 0.8806],0.8046,0.0661,[0.6798 0.9111],1.48e-09
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_gpt4_os,0.7248,0.0911,[0.5587 0.8806],0.8362,0.0675,[0.7089 0.9438],9.73e-16
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_gpt4_5s,0.7248,0.0911,[0.5587 0.8806],0.8018,0.0758,[0.6532 0.9303],9.22e-09
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_llama2-13b_finetuned,0.7248,0.0911,[0.5587 0.8806],0.9093,0.0517,[0.7883 0.9853],2.7199999999999997e-30
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_llama2-13b-chat_zs,0.7248,0.0911,[0.5587 0.8806],0.3888,0.1018,[0.1949 0.5677],1.01e-33
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_llama2-13b-chat_os,0.7248,0.0911,[0.5587 0.8806],0.6418,0.0992,[0.4573 0.8271],2.61e-08
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_llama2-13b-chat_5s,0.7248,0.0911,[0.5587 0.8806],0.5577,0.1081,[0.3469 0.7637],3.44e-20
BC5CDR_Chemical_gpt3.5_os,BC5CDR_Chemical_pmcllama-13b_finetuned,0.7248,0.0911,[0.5587 0.8806],0.9113,0.0481,[0.8    0.9952],6.410000000000001e-31
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_gpt4_zs,0.7225,0.0922,[0.5328 0.8902],0.8046,0.0661,[0.6798 0.9111],1.92e-10
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_gpt4_os,0.7225,0.0922,[0.5328 0.8902],0.8362,0.0675,[0.7089 0.9438],1.05e-16
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_gpt4_5s,0.7225,0.0922,[0.5328 0.8902],0.8018,0.0758,[0.6532 0.9303],2.53e-09
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_llama2-13b_finetuned,0.7225,0.0922,[0.5328 0.8902],0.9093,0.0517,[0.7883 0.9853],1.8900000000000002e-29
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_llama2-13b-chat_zs,0.7225,0.0922,[0.5328 0.8902],0.3888,0.1018,[0.1949 0.5677],1.63e-33
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_llama2-13b-chat_os,0.7225,0.0922,[0.5328 0.8902],0.6418,0.0992,[0.4573 0.8271],3.54e-08
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_llama2-13b-chat_5s,0.7225,0.0922,[0.5328 0.8902],0.5577,0.1081,[0.3469 0.7637],4.27e-20
BC5CDR_Chemical_gpt3.5_5s,BC5CDR_Chemical_pmcllama-13b_finetuned,0.7225,0.0922,[0.5328 0.8902],0.9113,0.0481,[0.8    0.9952],4.26e-30
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_gpt4_os,0.8046,0.0661,[0.6798 0.9111],0.8362,0.0675,[0.7089 0.9438],0.00135
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_gpt4_5s,0.8046,0.0661,[0.6798 0.9111],0.8018,0.0758,[0.6532 0.9303],0.794
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_llama2-13b_finetuned,0.8046,0.0661,[0.6798 0.9111],0.9093,0.0517,[0.7883 0.9853],3.47e-22
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_llama2-13b-chat_zs,0.8046,0.0661,[0.6798 0.9111],0.3888,0.1018,[0.1949 0.5677],2.6e-34
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_llama2-13b-chat_os,0.8046,0.0661,[0.6798 0.9111],0.6418,0.0992,[0.4573 0.8271],3.4e-24
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_llama2-13b-chat_5s,0.8046,0.0661,[0.6798 0.9111],0.5577,0.1081,[0.3469 0.7637],1.37e-31
BC5CDR_Chemical_gpt4_zs,BC5CDR_Chemical_pmcllama-13b_finetuned,0.8046,0.0661,[0.6798 0.9111],0.9113,0.0481,[0.8    0.9952],1.9599999999999997e-23
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_gpt4_5s,0.8362,0.0675,[0.7089 0.9438],0.8018,0.0758,[0.6532 0.9303],0.00116
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_llama2-13b_finetuned,0.8362,0.0675,[0.7089 0.9438],0.9093,0.0517,[0.7883 0.9853],1.6e-14
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_llama2-13b-chat_zs,0.8362,0.0675,[0.7089 0.9438],0.3888,0.1018,[0.1949 0.5677],2.5199999999999998e-34
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_llama2-13b-chat_os,0.8362,0.0675,[0.7089 0.9438],0.6418,0.0992,[0.4573 0.8271],7.7e-28
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_llama2-13b-chat_5s,0.8362,0.0675,[0.7089 0.9438],0.5577,0.1081,[0.3469 0.7637],5.09e-33
BC5CDR_Chemical_gpt4_os,BC5CDR_Chemical_pmcllama-13b_finetuned,0.8362,0.0675,[0.7089 0.9438],0.9113,0.0481,[0.8    0.9952],3.76e-15
BC5CDR_Chemical_gpt4_5s,BC5CDR_Chemical_llama2-13b_finetuned,0.8018,0.0758,[0.6532 0.9303],0.9093,0.0517,[0.7883 0.9853],7.930000000000001e-21
BC5CDR_Chemical_gpt4_5s,BC5CDR_Chemical_llama2-13b-chat_zs,0.8018,0.0758,[0.6532 0.9303],0.3888,0.1018,[0.1949 0.5677],2.6799999999999997e-34
BC5CDR_Chemical_gpt4_5s,BC5CDR_Chemical_llama2-13b-chat_os,0.8018,0.0758,[0.6532 0.9303],0.6418,0.0992,[0.4573 0.8271],1.11e-22
BC5CDR_Chemical_gpt4_5s,BC5CDR_Chemical_llama2-13b-chat_5s,0.8018,0.0758,[0.6532 0.9303],0.5577,0.1081,[0.3469 0.7637],8.890000000000001e-31
BC5CDR_Chemical_gpt4_5s,BC5CDR_Chemical_pmcllama-13b_finetuned,0.8018,0.0758,[0.6532 0.9303],0.9113,0.0481,[0.8    0.9952],1.4800000000000002e-21
BC5CDR_Chemical_llama2-13b_finetuned,BC5CDR_Chemical_llama2-13b-chat_zs,0.9093,0.0517,[0.7883 0.9853],0.3888,0.1018,[0.1949 0.5677],2.5199999999999998e-34
BC5CDR_Chemical_llama2-13b_finetuned,BC5CDR_Chemical_llama2-13b-chat_os,0.9093,0.0517,[0.7883 0.9853],0.6418,0.0992,[0.4573 0.8271],3.79e-33
BC5CDR_Chemical_llama2-13b_finetuned,BC5CDR_Chemical_llama2-13b-chat_5s,0.9093,0.0517,[0.7883 0.9853],0.5577,0.1081,[0.3469 0.7637],3.7299999999999997e-34
BC5CDR_Chemical_llama2-13b_finetuned,BC5CDR_Chemical_pmcllama-13b_finetuned,0.9093,0.0517,[0.7883 0.9853],0.9113,0.0481,[0.8    0.9952],0.949
BC5CDR_Chemical_llama2-13b-chat_zs,BC5CDR_Chemical_llama2-13b-chat_os,0.3888,0.1018,[0.1949 0.5677],0.6418,0.0992,[0.4573 0.8271],1.1600000000000001e-29
BC5CDR_Chemical_llama2-13b-chat_zs,BC5CDR_Chemical_llama2-13b-chat_5s,0.3888,0.1018,[0.1949 0.5677],0.5577,0.1081,[0.3469 0.7637],2.46e-19
BC5CDR_Chemical_llama2-13b-chat_zs,BC5CDR_Chemical_pmcllama-13b_finetuned,0.3888,0.1018,[0.1949 0.5677],0.9113,0.0481,[0.8    0.9952],2.5199999999999998e-34
