Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
CochranePLS_gpt3.5_zs,CochranePLS_gpt3.5_os,0.2361,0.0124,[0.2168 0.2676],0.2434,0.013,[0.2215 0.273 ],7.94e-05
CochranePLS_gpt3.5_zs,CochranePLS_gpt3.5_5s,0.2361,0.0124,[0.2168 0.2676],0.2467,0.013,[0.2244 0.2771],1.38e-08
CochranePLS_gpt3.5_zs,CochranePLS_gpt4_zs,0.2361,0.0124,[0.2168 0.2676],0.2364,0.0119,[0.2154 0.2617],0.847
CochranePLS_gpt3.5_zs,CochranePLS_gpt4_os,0.2361,0.0124,[0.2168 0.2676],0.238,0.0107,[0.2211 0.2608],0.158
CochranePLS_gpt3.5_zs,CochranePLS_gpt4_5s,0.2361,0.0124,[0.2168 0.2676],0.2459,0.0126,[0.2249 0.2742],8.06e-08
CochranePLS_gpt3.5_zs,CochranePLS_llama2-13b_finetuned,0.2361,0.0124,[0.2168 0.2676],0.2315,0.0173,[0.2044 0.2633],0.0201
CochranePLS_gpt3.5_zs,CochranePLS_llama2-13b-chat_zs,0.2361,0.0124,[0.2168 0.2676],0.2073,0.0127,[0.1868 0.2354],2.1e-28
CochranePLS_gpt3.5_zs,CochranePLS_llama2-13b-chat_os,0.2361,0.0124,[0.2168 0.2676],0.2175,0.0144,[0.1922 0.2469],3.39e-16
CochranePLS_gpt3.5_zs,CochranePLS_llama2-13b-chat_5s,0.2361,0.0124,[0.2168 0.2676],0.2279,0.0147,[0.2027 0.2559],2.37e-05
CochranePLS_gpt3.5_zs,CochranePLS_pmcllama-13b_finetuned,0.2361,0.0124,[0.2168 0.2676],0.2347,0.0174,[0.2052 0.2727],0.586
CochranePLS_gpt3.5_os,CochranePLS_gpt3.5_5s,0.2434,0.013,[0.2215 0.273 ],0.2467,0.013,[0.2244 0.2771],0.058
CochranePLS_gpt3.5_os,CochranePLS_gpt4_zs,0.2434,0.013,[0.2215 0.273 ],0.2364,0.0119,[0.2154 0.2617],7.1e-05
CochranePLS_gpt3.5_os,CochranePLS_gpt4_os,0.2434,0.013,[0.2215 0.273 ],0.238,0.0107,[0.2211 0.2608],0.00459
CochranePLS_gpt3.5_os,CochranePLS_gpt4_5s,0.2434,0.013,[0.2215 0.273 ],0.2459,0.0126,[0.2249 0.2742],0.116
CochranePLS_gpt3.5_os,CochranePLS_llama2-13b_finetuned,0.2434,0.013,[0.2215 0.273 ],0.2315,0.0173,[0.2044 0.2633],6.7e-07
CochranePLS_gpt3.5_os,CochranePLS_llama2-13b-chat_zs,0.2434,0.013,[0.2215 0.273 ],0.2073,0.0127,[0.1868 0.2354],4.3e-31
