Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
HoC_gpt3.5_zs,HoC_gpt3.5_os,0.6013,0.0811,[0.4586 0.7522],0.6055,0.0868,[0.4405 0.769 ],0.716
HoC_gpt3.5_zs,HoC_gpt3.5_5s,0.6013,0.0811,[0.4586 0.7522],0.6448,0.0809,[0.4772 0.7836],0.000233
HoC_gpt3.5_zs,HoC_gpt4_zs,0.6013,0.0811,[0.4586 0.7522],0.6608,0.0705,[0.516  0.7777],3.88e-07
HoC_gpt3.5_zs,HoC_gpt4_os,0.6013,0.0811,[0.4586 0.7522],0.6573,0.0712,[0.5128 0.7863],1.43e-06
HoC_gpt3.5_zs,HoC_gpt4_5s,0.6013,0.0811,[0.4586 0.7522],0.6626,0.0682,[0.5051 0.7846],1.04e-07
HoC_gpt3.5_zs,HoC_llama2-13b_finetuned,0.6013,0.0811,[0.4586 0.7522],0.6171,0.0737,[0.4586 0.7515],0.0991
HoC_gpt3.5_zs,HoC_llama2-13b-chat_zs,0.6013,0.0811,[0.4586 0.7522],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_gpt3.5_zs,HoC_llama2-13b-chat_os,0.6013,0.0811,[0.4586 0.7522],0.2823,0.0561,[0.1722 0.3951],3.5099999999999997e-34
HoC_gpt3.5_zs,HoC_llama2-13b-chat_5s,0.6013,0.0811,[0.4586 0.7522],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt3.5_zs,HoC_pmcllama-13b_finetuned,0.6013,0.0811,[0.4586 0.7522],0.3802,0.0816,[0.2458 0.5279],3.4200000000000002e-31
HoC_gpt3.5_os,HoC_gpt3.5_5s,0.6055,0.0868,[0.4405 0.769 ],0.6448,0.0809,[0.4772 0.7836],0.00149
HoC_gpt3.5_os,HoC_gpt4_zs,0.6055,0.0868,[0.4405 0.769 ],0.6608,0.0705,[0.516  0.7777],3.21e-06
HoC_gpt3.5_os,HoC_gpt4_os,0.6055,0.0868,[0.4405 0.769 ],0.6573,0.0712,[0.5128 0.7863],1.19e-05
HoC_gpt3.5_os,HoC_gpt4_5s,0.6055,0.0868,[0.4405 0.769 ],0.6626,0.0682,[0.5051 0.7846],1.23e-06
HoC_gpt3.5_os,HoC_llama2-13b_finetuned,0.6055,0.0868,[0.4405 0.769 ],0.6171,0.0737,[0.4586 0.7515],0.223
HoC_gpt3.5_os,HoC_llama2-13b-chat_zs,0.6055,0.0868,[0.4405 0.769 ],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_gpt3.5_os,HoC_llama2-13b-chat_os,0.6055,0.0868,[0.4405 0.769 ],0.2823,0.0561,[0.1722 0.3951],3.5099999999999997e-34
HoC_gpt3.5_os,HoC_llama2-13b-chat_5s,0.6055,0.0868,[0.4405 0.769 ],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt3.5_os,HoC_pmcllama-13b_finetuned,0.6055,0.0868,[0.4405 0.769 ],0.3802,0.0816,[0.2458 0.5279],8.28e-31
HoC_gpt3.5_5s,HoC_gpt4_zs,0.6448,0.0809,[0.4772 0.7836],0.6608,0.0705,[0.516  0.7777],0.121
HoC_gpt3.5_5s,HoC_gpt4_os,0.6448,0.0809,[0.4772 0.7836],0.6573,0.0712,[0.5128 0.7863],0.201
HoC_gpt3.5_5s,HoC_gpt4_5s,0.6448,0.0809,[0.4772 0.7836],0.6626,0.0682,[0.5051 0.7846],0.089
HoC_gpt3.5_5s,HoC_llama2-13b_finetuned,0.6448,0.0809,[0.4772 0.7836],0.6171,0.0737,[0.4586 0.7515],0.0246
HoC_gpt3.5_5s,HoC_llama2-13b-chat_zs,0.6448,0.0809,[0.4772 0.7836],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_gpt3.5_5s,HoC_llama2-13b-chat_os,0.6448,0.0809,[0.4772 0.7836],0.2823,0.0561,[0.1722 0.3951],2.85e-34
HoC_gpt3.5_5s,HoC_llama2-13b-chat_5s,0.6448,0.0809,[0.4772 0.7836],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt3.5_5s,HoC_pmcllama-13b_finetuned,0.6448,0.0809,[0.4772 0.7836],0.3802,0.0816,[0.2458 0.5279],4.9500000000000004e-33
HoC_gpt4_zs,HoC_gpt4_os,0.6608,0.0705,[0.516  0.7777],0.6573,0.0712,[0.5128 0.7863],0.837
HoC_gpt4_zs,HoC_gpt4_5s,0.6608,0.0705,[0.516  0.7777],0.6626,0.0682,[0.5051 0.7846],0.857
HoC_gpt4_zs,HoC_llama2-13b_finetuned,0.6608,0.0705,[0.516  0.7777],0.6171,0.0737,[0.4586 0.7515],5.84e-05
HoC_gpt4_zs,HoC_llama2-13b-chat_zs,0.6608,0.0705,[0.516  0.7777],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
HoC_gpt4_zs,HoC_llama2-13b-chat_os,0.6608,0.0705,[0.516  0.7777],0.2823,0.0561,[0.1722 0.3951],2.5199999999999998e-34
HoC_gpt4_zs,HoC_llama2-13b-chat_5s,0.6608,0.0705,[0.516  0.7777],0.1698,0.0337,[0.1068 0.2252],2.5199999999999998e-34
HoC_gpt4_zs,HoC_pmcllama-13b_finetuned,0.6608,0.0705,[0.516  0.7777],0.3802,0.0816,[0.2458 0.5279],7.87e-34
HoC_gpt4_os,HoC_gpt4_5s,0.6573,0.0712,[0.5128 0.7863],0.6626,0.0682,[0.5051 0.7846],0.616
HoC_gpt4_os,HoC_llama2-13b_finetuned,0.6573,0.0712,[0.5128 0.7863],0.6171,0.0737,[0.4586 0.7515],0.00018
HoC_gpt4_os,HoC_llama2-13b-chat_zs,0.6573,0.0712,[0.5128 0.7863],0.1125,0.0523,[0.0224 0.2221],2.5199999999999998e-34
