Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
LitCovid_gpt3.5_zs,LitCovid_gpt3.5_os,0.5625,0.0686,[0.4201 0.6733],0.5609,0.0693,[0.4227 0.6797],0.866
LitCovid_gpt3.5_zs,LitCovid_gpt3.5_5s,0.5625,0.0686,[0.4201 0.6733],0.5816,0.0582,[0.4678 0.6728],0.0498
LitCovid_gpt3.5_zs,LitCovid_gpt4_zs,0.5625,0.0686,[0.4201 0.6733],0.5533,0.0681,[0.4265 0.6817],0.219
LitCovid_gpt3.5_zs,LitCovid_gpt4_os,0.5625,0.0686,[0.4201 0.6733],0.5545,0.0691,[0.4318 0.6899],0.365
LitCovid_gpt3.5_zs,LitCovid_gpt4_5s,0.5625,0.0686,[0.4201 0.6733],0.5764,0.0646,[0.4554 0.6928],0.256
LitCovid_gpt3.5_zs,LitCovid_llama2-13b_finetuned,0.5625,0.0686,[0.4201 0.6733],0.5201,0.0769,[0.4006 0.669 ],6.95e-05
LitCovid_gpt3.5_zs,LitCovid_llama2-13b-chat_zs,0.5625,0.0686,[0.4201 0.6733],0.3717,0.0298,[0.3164 0.4257],3.68e-33
LitCovid_gpt3.5_zs,LitCovid_llama2-13b-chat_os,0.5625,0.0686,[0.4201 0.6733],0.4605,0.0669,[0.3321 0.5995],8.27e-18
LitCovid_gpt3.5_zs,LitCovid_llama2-13b-chat_5s,0.5625,0.0686,[0.4201 0.6733],0.3088,0.0584,[0.2054 0.4281],1.03e-33
LitCovid_gpt3.5_zs,LitCovid_pmcllama-13b_finetuned,0.5625,0.0686,[0.4201 0.6733],0.4139,0.0455,[0.3497 0.5124],1.1199999999999999e-28
LitCovid_gpt3.5_os,LitCovid_gpt3.5_5s,0.5609,0.0693,[0.4227 0.6797],0.5816,0.0582,[0.4678 0.6728],0.0313
