Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
MS2_gpt3.5_zs,MS2_gpt3.5_os,0.0891,0.0093,[0.0736 0.1068],0.1132,0.0089,[0.0963 0.1308],2.0499999999999998e-30
MS2_gpt3.5_zs,MS2_gpt3.5_5s,0.0891,0.0093,[0.0736 0.1068],0.1015,0.0093,[0.0836 0.1215],2.64e-15
MS2_gpt3.5_zs,MS2_gpt4_zs,0.0891,0.0093,[0.0736 0.1068],0.1225,0.0074,[0.1097 0.1363],4.88e-34
MS2_gpt3.5_zs,MS2_gpt4_os,0.0891,0.0093,[0.0736 0.1068],0.1244,0.0075,[0.1092 0.1392],2.76e-34
MS2_gpt3.5_zs,MS2_gpt4_5s,0.0891,0.0093,[0.0736 0.1068],0.1217,0.0077,[0.1078 0.136 ],6.389999999999999e-34
MS2_gpt3.5_zs,MS2_llama2-13b_finetuned,0.0891,0.0093,[0.0736 0.1068],0.0936,0.0115,[0.0741 0.1162],0.0114
MS2_gpt3.5_zs,MS2_llama2-13b-chat_zs,0.0891,0.0093,[0.0736 0.1068],0.0963,0.0081,[0.0825 0.1119],8.75e-08
MS2_gpt3.5_zs,MS2_llama2-13b-chat_os,0.0891,0.0093,[0.0736 0.1068],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt3.5_zs,MS2_llama2-13b-chat_5s,0.0891,0.0093,[0.0736 0.1068],0.1218,0.0091,[0.1028 0.1389],2.36e-33
MS2_gpt3.5_zs,MS2_pmcllama-13b_finetuned,0.0891,0.0093,[0.0736 0.1068],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_gpt3.5_os,MS2_gpt3.5_5s,0.1132,0.0089,[0.0963 0.1308],0.1015,0.0093,[0.0836 0.1215],8.48e-15
MS2_gpt3.5_os,MS2_gpt4_zs,0.1132,0.0089,[0.0963 0.1308],0.1225,0.0074,[0.1097 0.1363],2.14e-12
MS2_gpt3.5_os,MS2_gpt4_os,0.1132,0.0089,[0.0963 0.1308],0.1244,0.0075,[0.1092 0.1392],1.25e-15
MS2_gpt3.5_os,MS2_gpt4_5s,0.1132,0.0089,[0.0963 0.1308],0.1217,0.0077,[0.1078 0.136 ],1.49e-10
MS2_gpt3.5_os,MS2_llama2-13b_finetuned,0.1132,0.0089,[0.0963 0.1308],0.0936,0.0115,[0.0741 0.1162],1.39e-22
MS2_gpt3.5_os,MS2_llama2-13b-chat_zs,0.1132,0.0089,[0.0963 0.1308],0.0963,0.0081,[0.0825 0.1119],2.2799999999999998e-24
MS2_gpt3.5_os,MS2_llama2-13b-chat_os,0.1132,0.0089,[0.0963 0.1308],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt3.5_os,MS2_llama2-13b-chat_5s,0.1132,0.0089,[0.0963 0.1308],0.1218,0.0091,[0.1028 0.1389],1.01e-09
MS2_gpt3.5_os,MS2_pmcllama-13b_finetuned,0.1132,0.0089,[0.0963 0.1308],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_gpt3.5_5s,MS2_gpt4_zs,0.1015,0.0093,[0.0836 0.1215],0.1225,0.0074,[0.1097 0.1363],8.29e-29
MS2_gpt3.5_5s,MS2_gpt4_os,0.1015,0.0093,[0.0836 0.1215],0.1244,0.0075,[0.1092 0.1392],2.79e-30
MS2_gpt3.5_5s,MS2_gpt4_5s,0.1015,0.0093,[0.0836 0.1215],0.1217,0.0077,[0.1078 0.136 ],1.09e-27
MS2_gpt3.5_5s,MS2_llama2-13b_finetuned,0.1015,0.0093,[0.0836 0.1215],0.0936,0.0115,[0.0741 0.1162],4.82e-07
MS2_gpt3.5_5s,MS2_llama2-13b-chat_zs,0.1015,0.0093,[0.0836 0.1215],0.0963,0.0081,[0.0825 0.1119],9.25e-05
MS2_gpt3.5_5s,MS2_llama2-13b-chat_os,0.1015,0.0093,[0.0836 0.1215],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt3.5_5s,MS2_llama2-13b-chat_5s,0.1015,0.0093,[0.0836 0.1215],0.1218,0.0091,[0.1028 0.1389],2.19e-26
MS2_gpt3.5_5s,MS2_pmcllama-13b_finetuned,0.1015,0.0093,[0.0836 0.1215],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_gpt4_zs,MS2_gpt4_os,0.1225,0.0074,[0.1097 0.1363],0.1244,0.0075,[0.1092 0.1392],0.0996
MS2_gpt4_zs,MS2_gpt4_5s,0.1225,0.0074,[0.1097 0.1363],0.1217,0.0077,[0.1078 0.136 ],0.449
MS2_gpt4_zs,MS2_llama2-13b_finetuned,0.1225,0.0074,[0.1097 0.1363],0.0936,0.0115,[0.0741 0.1162],1.2200000000000001e-31
MS2_gpt4_zs,MS2_llama2-13b-chat_zs,0.1225,0.0074,[0.1097 0.1363],0.0963,0.0081,[0.0825 0.1119],8.150000000000001e-33
MS2_gpt4_zs,MS2_llama2-13b-chat_os,0.1225,0.0074,[0.1097 0.1363],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt4_zs,MS2_llama2-13b-chat_5s,0.1225,0.0074,[0.1097 0.1363],0.1218,0.0091,[0.1028 0.1389],0.676
MS2_gpt4_zs,MS2_pmcllama-13b_finetuned,0.1225,0.0074,[0.1097 0.1363],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_gpt4_os,MS2_gpt4_5s,0.1244,0.0075,[0.1092 0.1392],0.1217,0.0077,[0.1078 0.136 ],0.0184
MS2_gpt4_os,MS2_llama2-13b_finetuned,0.1244,0.0075,[0.1092 0.1392],0.0936,0.0115,[0.0741 0.1162],2.14e-32
MS2_gpt4_os,MS2_llama2-13b-chat_zs,0.1244,0.0075,[0.1092 0.1392],0.0963,0.0081,[0.0825 0.1119],2.16e-33
MS2_gpt4_os,MS2_llama2-13b-chat_os,0.1244,0.0075,[0.1092 0.1392],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt4_os,MS2_llama2-13b-chat_5s,0.1244,0.0075,[0.1092 0.1392],0.1218,0.0091,[0.1028 0.1389],0.0459
MS2_gpt4_os,MS2_pmcllama-13b_finetuned,0.1244,0.0075,[0.1092 0.1392],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_gpt4_5s,MS2_llama2-13b_finetuned,0.1217,0.0077,[0.1078 0.136 ],0.0936,0.0115,[0.0741 0.1162],4.96e-31
MS2_gpt4_5s,MS2_llama2-13b-chat_zs,0.1217,0.0077,[0.1078 0.136 ],0.0963,0.0081,[0.0825 0.1119],2.48e-32
MS2_gpt4_5s,MS2_llama2-13b-chat_os,0.1217,0.0077,[0.1078 0.136 ],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_gpt4_5s,MS2_llama2-13b-chat_5s,0.1217,0.0077,[0.1078 0.136 ],0.1218,0.0091,[0.1028 0.1389],0.764
MS2_gpt4_5s,MS2_pmcllama-13b_finetuned,0.1217,0.0077,[0.1078 0.136 ],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_llama2-13b_finetuned,MS2_llama2-13b-chat_zs,0.0936,0.0115,[0.0741 0.1162],0.0963,0.0081,[0.0825 0.1119],0.0214
MS2_llama2-13b_finetuned,MS2_llama2-13b-chat_os,0.0936,0.0115,[0.0741 0.1162],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_llama2-13b_finetuned,MS2_llama2-13b-chat_5s,0.0936,0.0115,[0.0741 0.1162],0.1218,0.0091,[0.1028 0.1389],5.0399999999999994e-30
MS2_llama2-13b_finetuned,MS2_pmcllama-13b_finetuned,0.0936,0.0115,[0.0741 0.1162],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_llama2-13b-chat_zs,MS2_llama2-13b-chat_os,0.0963,0.0081,[0.0825 0.1119],0.0324,0.0035,[0.0262 0.0396],2.5199999999999998e-34
MS2_llama2-13b-chat_zs,MS2_llama2-13b-chat_5s,0.0963,0.0081,[0.0825 0.1119],0.1218,0.0091,[0.1028 0.1389],1.5800000000000002e-31
MS2_llama2-13b-chat_zs,MS2_pmcllama-13b_finetuned,0.0963,0.0081,[0.0825 0.1119],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
MS2_llama2-13b-chat_os,MS2_llama2-13b-chat_5s,0.0324,0.0035,[0.0262 0.0396],0.1218,0.0091,[0.1028 0.1389],2.5199999999999998e-34
MS2_llama2-13b-chat_os,MS2_pmcllama-13b_finetuned,0.0324,0.0035,[0.0262 0.0396],0.0058,0.0056,[0.     0.0197],2.76e-34
MS2_llama2-13b-chat_5s,MS2_pmcllama-13b_finetuned,0.1218,0.0091,[0.1028 0.1389],0.0058,0.0056,[0.     0.0197],2.5199999999999998e-34
