Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
NCBI_Disease_gpt3.5_zs,NCBI_Disease_gpt3.5_os,0.4147,0.0836,[0.2621 0.5673],0.4823,0.0841,[0.3199 0.6379],1.54e-07
NCBI_Disease_gpt3.5_zs,NCBI_Disease_gpt3.5_5s,0.4147,0.0836,[0.2621 0.5673],0.4423,0.0842,[0.2831 0.6131],0.0243
NCBI_Disease_gpt3.5_zs,NCBI_Disease_gpt4_zs,0.4147,0.0836,[0.2621 0.5673],0.5773,0.106,[0.3642 0.742 ],1.88e-20
NCBI_Disease_gpt3.5_zs,NCBI_Disease_gpt4_os,0.4147,0.0836,[0.2621 0.5673],0.6098,0.1014,[0.4035 0.7767],2.47e-25
NCBI_Disease_gpt3.5_zs,NCBI_Disease_gpt4_5s,0.4147,0.0836,[0.2621 0.5673],0.648,0.0872,[0.4755 0.821 ],1.27e-30
NCBI_Disease_gpt3.5_zs,NCBI_Disease_llama2-13b_finetuned,0.4147,0.0836,[0.2621 0.5673],0.8573,0.0568,[0.7138 0.9578],2.5199999999999998e-34
NCBI_Disease_gpt3.5_zs,NCBI_Disease_llama2-13b-chat_zs,0.4147,0.0836,[0.2621 0.5673],0.2212,0.0959,[0.044  0.3967],1.31e-26
NCBI_Disease_gpt3.5_zs,NCBI_Disease_llama2-13b-chat_os,0.4147,0.0836,[0.2621 0.5673],0.3834,0.0818,[0.2581 0.5415],0.00424
NCBI_Disease_gpt3.5_zs,NCBI_Disease_llama2-13b-chat_5s,0.4147,0.0836,[0.2621 0.5673],0.4746,0.0761,[0.3145 0.619 ],3.8e-07
NCBI_Disease_gpt3.5_zs,NCBI_Disease_pmcllama-13b_finetuned,0.4147,0.0836,[0.2621 0.5673],0.8257,0.0659,[0.6881 0.9434],2.6e-34
NCBI_Disease_gpt3.5_os,NCBI_Disease_gpt3.5_5s,0.4823,0.0841,[0.3199 0.6379],0.4423,0.0842,[0.2831 0.6131],0.00134
NCBI_Disease_gpt3.5_os,NCBI_Disease_gpt4_zs,0.4823,0.0841,[0.3199 0.6379],0.5773,0.106,[0.3642 0.742 ],1.82e-10
