Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
PLOS_gpt3.5_zs,PLOS_gpt3.5_os,0.2317,0.0091,[0.2166 0.2483],0.2456,0.0095,[0.2287 0.263 ],9.19e-18
PLOS_gpt3.5_zs,PLOS_gpt3.5_5s,0.2317,0.0091,[0.2166 0.2483],0.2423,0.0096,[0.2235 0.2579],1.93e-12
PLOS_gpt3.5_zs,PLOS_gpt4_zs,0.2317,0.0091,[0.2166 0.2483],0.2262,0.0081,[0.2109 0.2409],1.44e-05
PLOS_gpt3.5_zs,PLOS_gpt4_os,0.2317,0.0091,[0.2166 0.2483],0.2387,0.0087,[0.2242 0.2554],6.45e-07
PLOS_gpt3.5_zs,PLOS_gpt4_5s,0.2317,0.0091,[0.2166 0.2483],0.242,0.0094,[0.2241 0.261 ],4.85e-12
PLOS_gpt3.5_zs,PLOS_llama2-13b_finetuned,0.2317,0.0091,[0.2166 0.2483],0.2581,0.0146,[0.2336 0.2833],1.3500000000000001e-27
PLOS_gpt3.5_zs,PLOS_llama2-13b-chat_zs,0.2317,0.0091,[0.2166 0.2483],0.2118,0.0099,[0.1958 0.2292],2.15e-25
PLOS_gpt3.5_zs,PLOS_llama2-13b-chat_os,0.2317,0.0091,[0.2166 0.2483],0.1832,0.015,[0.1512 0.2108],4.329999999999999e-34
PLOS_gpt3.5_zs,PLOS_llama2-13b-chat_5s,0.2317,0.0091,[0.2166 0.2483],0.1664,0.0091,[0.1492 0.1867],2.5199999999999998e-34
PLOS_gpt3.5_zs,PLOS_pmcllama-13b_finetuned,0.2317,0.0091,[0.2166 0.2483],0.2579,0.0143,[0.2336 0.2887],1.92e-27
PLOS_gpt3.5_os,PLOS_gpt3.5_5s,0.2456,0.0095,[0.2287 0.263 ],0.2423,0.0096,[0.2235 0.2579],0.0251
PLOS_gpt3.5_os,PLOS_gpt4_zs,0.2456,0.0095,[0.2287 0.263 ],0.2262,0.0081,[0.2109 0.2409],2.02e-26
PLOS_gpt3.5_os,PLOS_gpt4_os,0.2456,0.0095,[0.2287 0.263 ],0.2387,0.0087,[0.2242 0.2554],9.75e-07
PLOS_gpt3.5_os,PLOS_gpt4_5s,0.2456,0.0095,[0.2287 0.263 ],0.242,0.0094,[0.2241 0.261 ],0.0096
PLOS_gpt3.5_os,PLOS_llama2-13b_finetuned,0.2456,0.0095,[0.2287 0.263 ],0.2581,0.0146,[0.2336 0.2833],2.99e-10
PLOS_gpt3.5_os,PLOS_llama2-13b-chat_zs,0.2456,0.0095,[0.2287 0.263 ],0.2118,0.0099,[0.1958 0.2292],1.52e-33
PLOS_gpt3.5_os,PLOS_llama2-13b-chat_os,0.2456,0.0095,[0.2287 0.263 ],0.1832,0.015,[0.1512 0.2108],2.5199999999999998e-34
PLOS_gpt3.5_os,PLOS_llama2-13b-chat_5s,0.2456,0.0095,[0.2287 0.263 ],0.1664,0.0091,[0.1492 0.1867],2.5199999999999998e-34
PLOS_gpt3.5_os,PLOS_pmcllama-13b_finetuned,0.2456,0.0095,[0.2287 0.263 ],0.2579,0.0143,[0.2336 0.2887],3.56e-10
PLOS_gpt3.5_5s,PLOS_gpt4_zs,0.2423,0.0096,[0.2235 0.2579],0.2262,0.0081,[0.2109 0.2409],7.62e-22
PLOS_gpt3.5_5s,PLOS_gpt4_os,0.2423,0.0096,[0.2235 0.2579],0.2387,0.0087,[0.2242 0.2554],0.00551
PLOS_gpt3.5_5s,PLOS_gpt4_5s,0.2423,0.0096,[0.2235 0.2579],0.242,0.0094,[0.2241 0.261 ],0.709
PLOS_gpt3.5_5s,PLOS_llama2-13b_finetuned,0.2423,0.0096,[0.2235 0.2579],0.2581,0.0146,[0.2336 0.2833],1.13e-14
PLOS_gpt3.5_5s,PLOS_llama2-13b-chat_zs,0.2423,0.0096,[0.2235 0.2579],0.2118,0.0099,[0.1958 0.2292],3.13e-32
PLOS_gpt3.5_5s,PLOS_llama2-13b-chat_os,0.2423,0.0096,[0.2235 0.2579],0.1832,0.015,[0.1512 0.2108],2.6e-34
PLOS_gpt3.5_5s,PLOS_llama2-13b-chat_5s,0.2423,0.0096,[0.2235 0.2579],0.1664,0.0091,[0.1492 0.1867],2.5199999999999998e-34
PLOS_gpt3.5_5s,PLOS_pmcllama-13b_finetuned,0.2423,0.0096,[0.2235 0.2579],0.2579,0.0143,[0.2336 0.2887],2.29e-14
PLOS_gpt4_zs,PLOS_gpt4_os,0.2262,0.0081,[0.2109 0.2409],0.2387,0.0087,[0.2242 0.2554],4.01e-17
PLOS_gpt4_zs,PLOS_gpt4_5s,0.2262,0.0081,[0.2109 0.2409],0.242,0.0094,[0.2241 0.261 ],5.33e-22
PLOS_gpt4_zs,PLOS_llama2-13b_finetuned,0.2262,0.0081,[0.2109 0.2409],0.2581,0.0146,[0.2336 0.2833],1.62e-31
PLOS_gpt4_zs,PLOS_llama2-13b-chat_zs,0.2262,0.0081,[0.2109 0.2409],0.2118,0.0099,[0.1958 0.2292],1.61e-18
PLOS_gpt4_zs,PLOS_llama2-13b-chat_os,0.2262,0.0081,[0.2109 0.2409],0.1832,0.015,[0.1512 0.2108],7.6399999999999995e-34
PLOS_gpt4_zs,PLOS_llama2-13b-chat_5s,0.2262,0.0081,[0.2109 0.2409],0.1664,0.0091,[0.1492 0.1867],2.5199999999999998e-34
PLOS_gpt4_zs,PLOS_pmcllama-13b_finetuned,0.2262,0.0081,[0.2109 0.2409],0.2579,0.0143,[0.2336 0.2887],1.02e-31
PLOS_gpt4_os,PLOS_gpt4_5s,0.2387,0.0087,[0.2242 0.2554],0.242,0.0094,[0.2241 0.261 ],0.0156
PLOS_gpt4_os,PLOS_llama2-13b_finetuned,0.2387,0.0087,[0.2242 0.2554],0.2581,0.0146,[0.2336 0.2833],3.94e-20
PLOS_gpt4_os,PLOS_llama2-13b-chat_zs,0.2387,0.0087,[0.2242 0.2554],0.2118,0.0099,[0.1958 0.2292],6.090000000000001e-32
PLOS_gpt4_os,PLOS_llama2-13b-chat_os,0.2387,0.0087,[0.2242 0.2554],0.1832,0.015,[0.1512 0.2108],2.5199999999999998e-34
PLOS_gpt4_os,PLOS_llama2-13b-chat_5s,0.2387,0.0087,[0.2242 0.2554],0.1664,0.0091,[0.1492 0.1867],2.5199999999999998e-34
