Model 1,Model 2,Model 1 Mean,Model 1 Std Error,Model 1 Confidence Interval,Model 2 Mean,Model 2 Std Error,Model 2 Confidence Interval,p-value
PUBMED_gpt3.5_zs,PUBMED_gpt3.5_os,0.2278,0.0126,[0.2086 0.257 ],0.2349,0.0117,[0.2152 0.26  ],1.34e-05
PUBMED_gpt3.5_zs,PUBMED_gpt3.5_5s,0.2278,0.0126,[0.2086 0.257 ],0.241,0.0137,[0.2153 0.2679],3.44e-11
PUBMED_gpt3.5_zs,PUBMED_gpt4_zs,0.2278,0.0126,[0.2086 0.257 ],0.2402,0.0139,[0.2184 0.2714],6.05e-10
PUBMED_gpt3.5_zs,PUBMED_gpt4_os,0.2278,0.0126,[0.2086 0.257 ],0.2426,0.0143,[0.2182 0.2751],9.36e-13
PUBMED_gpt3.5_zs,PUBMED_gpt4_5s,0.2278,0.0126,[0.2086 0.257 ],0.244,0.0144,[0.2221 0.279 ],1.13e-14
PUBMED_gpt3.5_zs,PUBMED_llama2-13b_finetuned,0.2278,0.0126,[0.2086 0.257 ],0.1889,0.0241,[0.1512 0.2362],1.56e-24
PUBMED_gpt3.5_zs,PUBMED_llama2-13b-chat_zs,0.2278,0.0126,[0.2086 0.257 ],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt3.5_zs,PUBMED_llama2-13b-chat_os,0.2278,0.0126,[0.2086 0.257 ],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt3.5_zs,PUBMED_llama2-13b-chat_5s,0.2278,0.0126,[0.2086 0.257 ],0.1635,0.0119,[0.1445 0.1881],2.6e-34
PUBMED_gpt3.5_zs,PUBMED_pmcllama-13b_finetuned,0.2278,0.0126,[0.2086 0.257 ],0.1693,0.0165,[0.1428 0.2099],2.9900000000000002e-33
PUBMED_gpt3.5_os,PUBMED_gpt3.5_5s,0.2349,0.0117,[0.2152 0.26  ],0.241,0.0137,[0.2153 0.2679],0.000545
PUBMED_gpt3.5_os,PUBMED_gpt4_zs,0.2349,0.0117,[0.2152 0.26  ],0.2402,0.0139,[0.2184 0.2714],0.00576
PUBMED_gpt3.5_os,PUBMED_gpt4_os,0.2349,0.0117,[0.2152 0.26  ],0.2426,0.0143,[0.2182 0.2751],5.31e-05
PUBMED_gpt3.5_os,PUBMED_gpt4_5s,0.2349,0.0117,[0.2152 0.26  ],0.244,0.0144,[0.2221 0.279 ],3.28e-06
PUBMED_gpt3.5_os,PUBMED_llama2-13b_finetuned,0.2349,0.0117,[0.2152 0.26  ],0.1889,0.0241,[0.1512 0.2362],4.14e-28
PUBMED_gpt3.5_os,PUBMED_llama2-13b-chat_zs,0.2349,0.0117,[0.2152 0.26  ],0.1209,0.0135,[0.0991 0.1538],2.5199999999999998e-34
PUBMED_gpt3.5_os,PUBMED_llama2-13b-chat_os,0.2349,0.0117,[0.2152 0.26  ],0.0991,0.0027,[0.0937 0.104 ],2.5199999999999998e-34
PUBMED_gpt3.5_os,PUBMED_llama2-13b-chat_5s,0.2349,0.0117,[0.2152 0.26  ],0.1635,0.0119,[0.1445 0.1881],2.5199999999999998e-34
PUBMED_gpt3.5_os,PUBMED_pmcllama-13b_finetuned,0.2349,0.0117,[0.2152 0.26  ],0.1693,0.0165,[0.1428 0.2099],7.199999999999999e-34
